model	Kest	Sensitivity	Precision	rmse_sig	rmse_theta	rmse_Betas	rmse_lambda	rmse_counts	time	iter	effectiveBetas	effectiveSigs	effectiveTheta	effectiveMu	effectiveSigma2	effectiveLogPost	effectiveLogLik	effectiveLogPrior	Simulation	Scenario	n
CompNMFBase	8	1	1	0.002976931886878285	44.82193997092753	0.36043527563674044	0.094524694682674	0.10802204877145752	0.0031783262888590495	4256	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_01	Scenario_A_indep	86047
map_CopyOnly	8	1	1	0.003230200199001058	44.67863695105094	0.36043527563674044	0.0936647747618946	0.10724907699569522	5.357114601135254	499	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_01	Scenario_A_indep	86047
map_NoCopies	8	1	1	0.0014700703463927857	21.74546800085384	0.017254392828855436	0.00788448158467594	0.052456686571100405	11.855693300565084	219	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_01	Scenario_A_indep	86047
map_TrueCovs	8	1	1	0.001503938948182751	21.60567518464767	0.011175020053687569	0.001414454644983207	0.0518982700814864	18.996616792678832	359	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_01	Scenario_A_indep	86047
map_Full	8	1	1	0.001512184933258893	21.69038423071231	0.014071878494915483	0.0017232415117211812	0.05188863097595828	17.140330843130748	269	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_01	Scenario_A_indep	86047
mcmc_Full	8	1	1	0.0020872868957081923	26.420636997819656	0.015205965314840487	0.001723897693911757	0.05188831612802538	151.71814360221225	NA	49.64306738115448	370.162751965166	418.5736684619129	1132.9655029375435	1398.2194373510436	324.76393270444333	272.1058608941727	560.3739753362083	Simulation_01	Scenario_A_indep	86047
map_TrueCovs200	8	1	1	0.0015129477735900637	21.557492578369114	0.014313978208404339	0.009815046217151862	0.052629750171178664	20.544829825560253	359	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_01	Scenario_A_indep	86047
mcmc_TrueCovs200	8	1	1	0.002058416225204094	26.033989682034242	0.014650993015530108	0.009811287093933724	0.052625316052428345	135.67951500018438	NA	49.524003917536234	374.0652720396571	426.9117151417257	1206.3528672362713	1405.478324428034	562.8483714371404	394.87443652080674	649.6314805921363	Simulation_01	Scenario_A_indep	86047
map_TrueCovs500	8	1	1	0.0015085324438184806	21.602760186102252	0.01401709957692266	0.01790760756213621	0.05483918463074496	9.601373648643493	169	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_01	Scenario_A_indep	86047
mcmc_TrueCovs500	8	1	1	0.00208223696108226	26.40805789933373	0.01493277278142191	0.017910919101149374	0.05483928209482519	103.00243529876073	NA	47.13764992119707	372.42833431446866	432.8884034649993	1192.6466168348913	1350.2251182897883	496.60917412096745	475.1650979370766	521.6777113948845	Simulation_01	Scenario_A_indep	86047
CompNMFBase	8	1	1	0.004294294003999571	44.10941391626276	0.3536794521275586	0.11658888063417183	0.12782436630576882	0.0026885668436686196	2768	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_02	Scenario_A_indep	95425
map_CopyOnly	8	1	1	0.004270228533996814	44.920336044697144	0.3536794521275586	0.11595977146268206	0.12724164733279525	8.701831181844076	659	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_02	Scenario_A_indep	95425
map_NoCopies	8	1	1	0.0014969700150631018	20.136126588725617	0.020653349144732405	0.006808678041781771	0.05488567443079552	26.07578547000885	449	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_02	Scenario_A_indep	95425
map_TrueCovs	8	1	1	0.0013245171491747516	18.659374615428625	0.010148606327075907	0.002531311567400463	0.054610233642310574	22.508213047186533	399	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_02	Scenario_A_indep	95425
map_Full	9	0.875	0.7777777777777778	0.005302520978440215	189.3904030154853	0.1615440361746491	0.0030295272785465506	0.0545795235202349	56.414431091149645	819	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_02	Scenario_A_indep	95425
mcmc_Full	8	1	1	0.0023090616829333356	20.315380362370234	0.01341586558630532	0.0031331602945166106	0.054593675100583806	128.97951897382737	NA	47.20532783903442	442.9348806358079	438.24051218135213	1179.4375873052288	1456.849184002859	533.0326653958128	338.0162681965074	598.2094954879958	Simulation_02	Scenario_A_indep	95425
map_TrueCovs200	8	1	1	0.001325978655185439	18.687473721914987	0.012114311452364928	0.012202145125702007	0.05595325306763348	23.13490156730016	379	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_02	Scenario_A_indep	95425
mcmc_TrueCovs200	8	1	1	0.0023197507087713318	20.60033286362427	0.013287341056188394	0.01222627332123402	0.05597719130655443	143.14733841419218	NA	47.11763450158725	444.7414801210303	435.432484996375	1225.110701326205	1500	644.9786903793193	553.760993083404	629.81091429786	Simulation_02	Scenario_A_indep	95425
map_TrueCovs500	8	1	1	0.001361775824946534	18.822679165324406	0.012308017328659196	0.021090304009129257	0.05816169807151057	22.740456116199493	389	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_02	Scenario_A_indep	95425
mcmc_TrueCovs500	8	1	1	0.0023963966918298814	20.83236968362022	0.013529306172724145	0.021115600565081473	0.05817818788885185	98.41784851153692	NA	46.58851438050704	441.13040478655273	449.9808132851836	1301.7563115965904	1292.771472691802	526.5691538635147	353.7284975193296	635.8150071429789	Simulation_02	Scenario_A_indep	95425
CompNMFBase	8	1	1	0.004115405023170682	45.769755190154754	0.26133851478378534	0.04712220799135123	0.06536933164612235	0.00514376958211263	3996	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_03	Scenario_A_indep	65793
map_CopyOnly	8	1	1	0.004140811861045461	46.032067415268294	0.26133851478378534	0.04696792374275431	0.06522245482169856	9.050490005811055	979	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_03	Scenario_A_indep	65793
map_NoCopies	8	1	1	0.0021335375043985156	23.341529020302605	0.019767770118700814	0.005199038186702971	0.04559260858018303	12.9722203373909	289	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_03	Scenario_A_indep	65793
map_TrueCovs	8	1	1	0.0021200477382079673	23.45682242179364	0.011112042123479098	0.0014411813838399333	0.045336008440077694	10.123207986354828	239	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_03	Scenario_A_indep	65793
map_Full	8	1	1	0.002095866742284897	23.043572327563208	0.01524096308154724	0.0016457316996882042	0.04531945110039907	14.344927000999451	279	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_03	Scenario_A_indep	65793
mcmc_Full	8	1	1	0.003294375799161534	36.03252292699391	0.017158998879815045	0.0015497990035708658	0.045318033480802565	132.38556117216746	NA	46.022057555925315	267.56609436927863	327.16704229900887	842.4809247437598	1360.1047477846369	335.25500949842615	259.835866437262	585.8955706784526	Simulation_03	Scenario_A_indep	65793
map_TrueCovs200	8	1	1	0.002074341569432536	22.66900922246592	0.015119112527754533	0.0042657115051769195	0.045483657739885164	11.834250962734222	269	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_03	Scenario_A_indep	65793
mcmc_TrueCovs200	8	1	1	0.0032449172680101158	35.37963763153673	0.016992391490700847	0.004236956301823077	0.045482764180161964	113.63609221378962	NA	47.099103536244726	270.76057299105764	328.7479414638156	921.1558823517903	1460.498477549273	453.232284600896	283.60405555062783	580.127481458415	Simulation_03	Scenario_A_indep	65793
map_TrueCovs500	8	1	1	0.0021306932822155217	23.669993067920306	0.015115604622565082	0.007224385678560422	0.04575561227139459	11.134641734759013	239	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_03	Scenario_A_indep	65793
